Title,Description,URL
Cryptocurrency,A cryptocurrency is a digital currency that uses cryptography.,https://github.com/topics/cryptocurrency
Crystal,"Crystal is a self-hosted, general purpose programming language.",https://github.com/topics/crystal
C#,"C# (""C sharp"") is an object-oriented and type-safe programming language.",https://github.com/topics/csharp
CSS,Cascading Style Sheets (CSS) is a language used most often to style and improve upon the appearance of views.,https://github.com/topics/css
Data structures,Data structures are a way of organizing and storing data.,https://github.com/topics/data-structures
Data visualization,Data visualization is the graphic representation of data and trends.,https://github.com/topics/data-visualization
Database,"A database is a structured set of data held in a computer, usually a server.",https://github.com/topics/database
Deep learning,Deep Learning is an artificial neural network composed of many layers.,https://github.com/topics/deep-learning
Dependency management,Secure and manage your third-party dependencies.,https://github.com/topics/dependency-management
Deployment,Streamline your code deployment so you can focus on your product.,https://github.com/topics/deployment
Django,Django is a web application framework for Python.,https://github.com/topics/django
Docker,Docker is a platform built for developers to build and run applications.,https://github.com/topics/docker
Documentation,Documentation is a set of information that describes a product to its users.,https://github.com/topics/documentation
.NET,".NET is a free, cross-platform, open source developer platform.",https://github.com/topics/dotnet
Electron,Electron is a framework for building cross-platform desktop applications with web technology.,https://github.com/topics/electron
Elixir,"Elixir is a dynamic, functional language designed for building scalable and maintainable applications.",https://github.com/topics/elixir
Emacs,"Emacs is an extensible, customizable, free text editor and computing environment.",https://github.com/topics/emacs
Ember,Ember is a framework for creating web applications.,https://github.com/topics/ember
Emoji,"Emojis are graphic symbols that represent an emotion, object, or concept.",https://github.com/topics/emoji
Emulator,An emulator is any hardware or software that allows one computer to behave like another.,https://github.com/topics/emulator
ES6,ECMAScript 6 is the sixth release of the ECMAScript language.,https://github.com/topics/es6
ESLint,The pluggable linting utility for JavaScript and JSX.,https://github.com/topics/eslint
Ethereum,Ethereum is a distributed public blockchain network.,https://github.com/topics/ethereum
Express,Express is a minimal Node.js framework for web and mobile applications.,https://github.com/topics/express
Firebase,Firebase is a mobile app development platform that provides data analysis and database web services for developers.,https://github.com/topics/firebase
Firefox,Firefox is an open source web browser from Mozilla.,https://github.com/topics/firefox
Flask,Flask is a web framework for Python based on the Werkzeug toolkit.,https://github.com/topics/flask
Font,A font is a particular style of typeface for text.,https://github.com/topics/font
Framework,A framework is a reusable set of libraries or classes in software.,https://github.com/topics/framework
Front end,Front end is the programming and layout that people see and interact with.,https://github.com/topics/frontend
